	persuasion_technique	precision	recall	f1	n_samples
0	False_Dilemma-No_Choice	0.40476190476190477	0.3655913978494624	0.384180790960452	93
1	Appeal_to_Time	0.1111111111111111	0.0625	0.08	48
2	Straw_Man	0.2	0.15517241379310345	0.17475728155339806	58
3	Appeal_to_Hypocrisy	0.23529411764705882	0.17679558011049723	0.20189274447949526	181
4	Guilt_by_Association	0.25882352941176473	0.1864406779661017	0.21674876847290642	118
5	Name_Calling-Labeling	0.4877450980392157	0.42887931034482757	0.45642201834862384	928
6	Red_Herring	0.43478260869565216	0.19607843137254902	0.2702702702702703	51
7	Doubt	0.34818941504178275	0.2738225629791895	0.30656039239730226	913
8	Flag_Waving	0.45054945054945056	0.3474576271186441	0.39234449760765555	118
9	Appeal_to_Popularity	0.3404255319148936	0.18823529411764706	0.24242424242424238	85
10	Appeal_to_Values	0.3434343434343434	0.22077922077922077	0.26877470355731226	154
11	Conversation_Killer	0.46258503401360546	0.3119266055045872	0.3726027397260275	218
12	Questioning_the_Reputation	0.2267080745341615	0.18159203980099503	0.20165745856353592	402
13	Whataboutism	0.4782608695652174	0.3142857142857143	0.3793103448275862	35
14	Appeal_to_Authority	0.3162393162393162	0.18781725888324874	0.2356687898089172	197
15	Obfuscation-Vagueness-Confusion	0.2127659574468085	0.10416666666666667	0.13986013986013987	96
16	Causal_Oversimplification	0.5340909090909091	0.3671875	0.4351851851851852	128
17	Repetition	0.525974025974026	0.6585365853658537	0.5848375451263539	123
18	Loaded_Language	0.40034812880765885	0.40671971706454463	0.4035087719298246	1131
19	Appeal_to_Fear-Prejudice	0.3770491803278688	0.24555160142348753	0.2974137931034483	281
20	Exaggeration-Minimisation	0.45145631067961167	0.37349397590361444	0.4087912087912088	249
21	Slogans	0.5051546391752577	0.4188034188034188	0.45794392523364486	117
22	Consequential_Oversimplification	0.5098039215686274	0.3132530120481928	0.3880597014925373	83
