	persuasion_technique	precision	recall	f1	n_samples
0	Doubt	0.31754874651810583	0.2698224852071006	0.29174664107485604	845
1	Red_Herring	0.34782608695652173	0.2222222222222222	0.2711864406779661	36
2	Flag_Waving	0.38461538461538464	0.25735294117647056	0.30837004405286345	136
3	Conversation_Killer	0.4217687074829932	0.37575757575757573	0.3974358974358974	165
4	Slogans	0.3917525773195876	0.3275862068965517	0.35680751173708913	116
5	Consequential_Oversimplification	0.45098039215686275	0.2875	0.35114503816793885	80
6	Whataboutism	0.0	0.0	0.0	35
7	Appeal_to_Fear-Prejudice	0.3333333333333333	0.21863799283154123	0.26406926406926406	279
8	Exaggeration-Minimisation	0.4174757281553398	0.4095238095238095	0.4134615384615385	210
9	Appeal_to_Popularity	0.2765957446808511	0.16049382716049382	0.203125	81
10	False_Dilemma-No_Choice	0.3333333333333333	0.25925925925925924	0.2916666666666667	108
11	Loaded_Language	0.3872932985204526	0.3723849372384937	0.37969283276450516	1195
12	Obfuscation-Vagueness-Confusion	0.10638297872340426	0.04672897196261682	0.06493506493506494	107
13	Appeal_to_Authority	0.3247863247863248	0.2159090909090909	0.25938566552901027	176
14	Repetition	0.5974025974025974	0.6133333333333333	0.6052631578947367	150
15	Name_Calling-Labeling	0.39705882352941174	0.5046728971962616	0.4444444444444444	642
16	Appeal_to_Time	0.18518518518518517	0.10869565217391304	0.13698630136986303	46
17	Causal_Oversimplification	0.5	0.32116788321167883	0.3911111111111111	137
18	Questioning_the_Reputation	0.09006211180124224	0.08734939759036145	0.08868501529051988	332
19	Straw_Man	0.15555555555555556	0.08860759493670886	0.11290322580645161	79
20	Appeal_to_Values	0.25252525252525254	0.1524390243902439	0.19011406844106465	164
21	Guilt_by_Association	0.11764705882352941	0.14492753623188406	0.12987012987012989	69
22	Appeal_to_Hypocrisy	0.08088235294117647	0.05116279069767442	0.06267806267806268	215
