	persuasion_technique	precision	recall	f1	n_samples
0	Name_Calling-Labeling	0.375	0.4140730717185386	0.39356913183279746	739
1	Loaded_Language	0.30548302872062666	0.41835518474374256	0.35311871227364183	839
2	Appeal_to_Values	0.0	0.0	0.0	161
3	Red_Herring	0.0	0.0	0.0	47
4	Slogans	0.4845360824742268	0.4017094017094017	0.4392523364485982	117
5	False_Dilemma-No_Choice	0.35714285714285715	0.3225806451612903	0.3389830508474576	93
6	Appeal_to_Popularity	0.0	0.0	0.0	38
7	Conversation_Killer	0.2857142857142857	0.28378378378378377	0.2847457627118644	148
8	Guilt_by_Association	0.17647058823529413	0.09259259259259259	0.12145748987854252	162
9	Exaggeration-Minimisation	0.3883495145631068	0.365296803652968	0.3764705882352941	219
10	Obfuscation-Vagueness-Confusion	0.0	0.0	0.0	5
11	Appeal_to_Time	0.07407407407407407	0.05128205128205128	0.060606060606060615	39
12	Straw_Man	0.0	0.0	0.0	0
13	Doubt	0.08635097493036212	0.11946050096339114	0.10024252223120453	519
14	Appeal_to_Fear-Prejudice	0.21311475409836064	0.203125	0.20799999999999996	192
15	Appeal_to_Hypocrisy	0.21323529411764705	0.14795918367346939	0.17469879518072287	196
16	Flag_Waving	0.3626373626373626	0.336734693877551	0.3492063492063492	98
17	Causal_Oversimplification	0.20454545454545456	0.1836734693877551	0.1935483870967742	98
18	Consequential_Oversimplification	0.21568627450980393	0.13414634146341464	0.16541353383458648	82
19	Whataboutism	0.0	0.0	0.0	79
20	Appeal_to_Authority	0.21367521367521367	0.12953367875647667	0.16129032258064516	193
21	Questioning_the_Reputation	0.12732919254658384	0.12693498452012383	0.12713178294573643	323
22	Repetition	0.5714285714285714	0.5945945945945946	0.5827814569536424	148
