	persuasion_technique	precision	recall	f1	n_samples
0	Loaded_Language	0.06386554621848739	0.11094890510948906	0.08106666666666666	685
1	Name_Calling-Labeling	0.12568306010928962	0.20795660036166366	0.1566757493188011	553
2	Appeal_to_Popularity	0.13953488372093023	0.06666666666666667	0.09022556390977443	90
3	Straw_Man	0.12903225806451613	0.05405405405405406	0.0761904761904762	74
4	Appeal_to_Fear-Prejudice	0.05389221556886228	0.04072398190045249	0.04639175257731958	221
5	Whataboutism	0.2727272727272727	0.14285714285714285	0.18749999999999997	21
6	Repetition	0.02857142857142857	0.0273972602739726	0.027972027972027972	146
7	Questioning_the_Reputation	0.21634615384615385	0.17110266159695817	0.19108280254777069	263
8	False_Dilemma-No_Choice	0.125	0.075	0.09374999999999999	80
9	Appeal_to_Time	0.0	0.0	0.0	46
10	Exaggeration-Minimisation	0.05025125628140704	0.05434782608695652	0.05221932114882506	184
11	Appeal_to_Authority	0.0945945945945946	0.05785123966942149	0.07179487179487179	121
12	Flag_Waving	0.04878048780487805	0.035398230088495575	0.041025641025641026	113
13	Appeal_to_Hypocrisy	0.15294117647058825	0.10833333333333334	0.12682926829268293	120
14	Appeal_to_Values	0.14457831325301204	0.07947019867549669	0.10256410256410257	151
15	Guilt_by_Association	0.09090909090909091	0.045454545454545456	0.060606060606060615	110
16	Conversation_Killer	0.23636363636363636	0.21666666666666667	0.22608695652173916	120
17	Red_Herring	0.0	0.0	0.0	53
18	Consequential_Oversimplification	0.2222222222222222	0.09900990099009901	0.13698630136986303	101
19	Doubt	0.21074380165289255	0.1608832807570978	0.18246869409660108	634
20	Slogans	0.2926829268292683	0.19834710743801653	0.23645320197044334	121
21	Causal_Oversimplification	0.038461538461538464	0.013513513513513514	0.02	148
22	Obfuscation-Vagueness-Confusion	0.1282051282051282	0.05154639175257732	0.07352941176470588	97
